Exit Code	Error message	Map	Action Sequence
REJECTION	"**** Error reading file by readAllLines
"	"b'\xf6\xdc\xbe\xb2\xca?\xa2I\xb2\xad\x1d\xbaU\x10\x05\x93\xfe\xbd\xb2z\xac\x91\x14\xa9\x8f2S\xc4d\x11\x82\xeaKN\xb2Q\x00\xd2\x81\xbd\xfd\x93O\x85\x12\xc1\xd9\x8e\xd7-R\xe6\xb1\xf5\x12[\x9b\x97f\xfc/\x95\xf9\xa6y\x0f\xf7\xf0\xfc\x07\xda\xce\xa7\xd9\x0b1\xa1\x8bS\xc6\x0eD\x19\x00\x99\x81b\x0f\x9d'"	RLQRREEWRRDQSUDWSSQEWWULS
REJECTION	"**** Error reading file by readAllLines
"	"b"\x0c\xc6M\xdc'\xb5""	QLRRDWUDDLEDWEUQWDRQDSQSDWDWLUELEEWUUW
REJECTION	"**** Error reading file by readAllLines
"	"b'\x01\xf0\xcd\x12\x9a\nqf\xb9O\xc3\x95\xf0wb\xd1\x01\x12norjM\xc2\x16\x03\x03\xda$:lk\x10\x18\xe2\xb8'"	SSRWLWUWLEWSUQLUUSLUSDQUR
REJECTION	"**** Error reading file by readAllLines
"	"b'\xbf\xc0  \xcd\x8e\xc3\xc6\x0e\xccDn\x89\xa0\xc4\x05r\x88\xde\x00\xef._\xd9\xdcX\xaf\x8e\x99}\xd4\xef\xdd\xb7m\n\x15)\xc9l\x00n\x97YC\xf9mT\x87I\xc0\xc2\xdd\x89\xe0\xbcY\xc6\xaa?O\xca\xd25]\xd4\xe9J\xe1\xc4\\\x18s\xbfr'"	DURWDU
REJECTION	"**** Error reading file by readAllLines
"	"b'\x03l-\xa7\x1b\x1ai\ttsw8\x89\x14\xef\xc49\xdd\'xm\xbc\x9a\xb7rj\x87\x10+\xcaU\x8c\xbbw\xc2`\xbbl\xc5\x95?\x19oA\x1f"V\x03\xd2\x0c\xf5\x11\xc8P\xe6\x80[\x0f\x8b\xe0\xd9\x85\xc7\x89\x99 &\xc66'"	SSSQQQSWSQWLDDQ
REJECTION	"**** Error reading file by readAllLines
"	"b'\x0c\x8e\x92\xc1\xcf\xe2\xd8\xba\x98D\xd2LX\x1c\x88\xa2\x07\x99\x1c\xbb\x8d\xfax\xf4]7y\xe7\xb2\xe5\xaft\xdc\xad\xf8=,U\xa0o\x9a\x9c\xcc\x15\xebz\xae\x88\x00"\x00fq\xdbk'"	W
REJECTION	"**** Error reading file by readAllLines
"	"b'\x0b\x10\xdfYPQ6\x17\xa0s\x91h[\x08xg!\xc3\xfc&\x06\x05\xefeu\x12e\x177N\xf8\xce\x1d\xdb\x9c\x16\xa2\xb4\xad9V\xd33\xcd\xa9\x82\xa7\x96\x84\xa4\xf0\xe8\xe6,l\xd5c9%\xa0\x0eCF\xf1\x04\xc5\xc0\xcb\xed\xfd\xbd\x160\x88\x19\xe5\xb4'"	SUDWLURRSDWQSELWWDSRSEWRSLRUEDUQUDESDSEDDSLQWQRDQS
REJECTION	"**** Error reading file by readAllLines
"	"b'D\x14\xa1\x9d\xea\xbb\xfey#\x95A\xb8\x15\xaa\xbe\x18k=\xb2\xe9_\xdc{M\xfc*\x07\x8fV\x1f\xb6\xde\xd8\n1]6-\xfec'"	QREDWRQLW
REJECTION	"**** Error reading file by readAllLines
"	"b'fA2\x0c18\r\xc3\xdf'"	LWWREESLQULWESRLLDSRSQERQLWRERQQQLWULQ
REJECTION	"**** Error reading file by readAllLines
"	"b')D\x10\xf5M\xbf\xbce\xae\xf0\x10\xcb\x8d_\xd5\xbfC\x87\x19\xa3R\x12\x88}b\x0fks\xb7\x1d9\x816/\xcc\xf9}\x1c\x9auS\xec[\\@\x99\x8d\x07\x1a|q\xf5G\xdf\x9d\x19\xdd\t)W\xeeu\xe6\x05\x11\xbd\xa0\xf4\xae\xb8\xc9\tm\xf1\\\xe0\xb8\xc4V[s\xdf8\x8d^_Z\x0b\x91\x01q\xea'"	LWELUQLRQUUESRESWEERLWSESLWRSRLLQRSRWELRWSDUUWUD
REJECTION	"**** Error reading file by readAllLines
"	"b'@\xbcU\x8bF\xad\xe3\xd9\xcd=9\xe0VG\xcf\x81Lr\xebX\x1c\xf7sU'"	WDLESWDQSQEWDULRQEURLLDWLEQSRERSUSUDWLLD
REJECTION	"**** Error reading file by readAllLines
"	"b'\x0c\xecP\x93\xca\x9b\xec'"	DWLQRWSRUULLDQULRQSLLRESRSLWSUSELUU
REJECTION	"**** Error reading file by readAllLines
"	"b'\xd6\x87\xde\x97m!\xa1,c\x9d\x94V\xcc}\xa3\x93\xc1\xa1q\xb7p\xd1\xfc%\\\xb8\xc2\xee\xc11\xafz4\xe4(\x8e83h\xbaB\xbc\xfc\xe8p'"	DUSLDQERLWSRULSEQUD
REJECTION	"**** Error reading file by readAllLines
"	"b'\xa5\x98\xb7&\x04\x12\xe1\xc8\x0f\x10\x97\xf9L\xe2\x9c\xdbe\x85P\xdc\x98\xe0\xa2\xb3v\xeaA\xa5\xfb\x1bi\xf1qPF\xeb\xfe\x84\x7f`$\'!\x90\x8f\xd8\xa8\xe4\xc6\x06"Z\xact\xa0\x9a\xd6\x01\xf1\xe6;\xd4\xb8\x83\xbe\xc5\xc7GX\xde\xccp\xb9\xd6\xa6xD\x1b\x9f\x92\xa6\x1c\xfa\xb6r\xc1\xd4 8\xa6o\xd04T&'"	LERQDESSRQRDSQWWUWDUWSUWQRWREEDREERQQEW
REJECTION	"**** Error reading file by readAllLines
"	"b'_\x8cct!D\xff\x0c\xda\x8c\xf0}{vEx\x90)\xed\x05c\xb2H\xe2v\xa8^XL\xa9D\xce\xca\xd6\x0e+A\xcb\xa8I`\x99\x81\xd1\x08\x1b\x9ad\xce\x95x"\xb3\xa9\xffe\x18\x88\xbbu\x03\x0b\xee\xb1\xba\xcf\xa2+<Q\xb8\x01E)'"	WQDEUDDRLQRWWLSEEUW
REJECTION	"**** Error reading file by readAllLines
"	"b'o0\xbd&V\x87\xb1\x18]\xd6\xf0^\xaf\xf7\xd6m\xd9\xaa\x96K<\xc8X\xae\xd4\x0e.+\x97\xea\x94\xafuWi\t\xbe\t\xd5\xf5S\xab-y\x01bzD\xd4\x04\x81\x19^O\xf6\x85$\xb45\xa5}\xc0\nd\xa4\xad(\xef\x8bA\xaag\xf4{\x17(a\xb2\x92\x8d_\xbc\xa2\xcf\x11\xcb\x00\x81\xe6\x9e\x91\xcc(\x1dV7Y'"	DURWREDWQLLWREREUREQRWSWQELSUW
REJECTION	"**** Error reading file by readAllLines
"	"b'\xc6\xb1\xbf\xd2\xa6H\xf3\xe9\xe2\x18\x9e\x86\xa9\xc2\x0f\xff\xce\x90\xa7\xa7`"\xe2)\x8d\x86\xbe\xf7\xfaI\xc4\x9dl\x1cl[\xb1D\xe7\xf1\xe4U^#<\xdf\x80\x7f\x97n\x9c\r\x8d\xf9!v\xcb~\xd5\x0f\xeer\xdfX8\xe9\x89#I\xb9\xe0\xbd\\Evu'"	DLLWWLUUREDDEWLEEWLUEDEQQRSSDEERQSDWEQELREELLUQQ
REJECTION	"**** Error reading file by readAllLines
"	"b'\xec\xff\xed\xd0\xc6m\x01\x04\x13\x82\x16\x89\xdf\xe2\x94\x8e\xebk\xd0Z]p\x91\xef\xf6\xc2j\xcaj\xf5--G\xca\xca\xa1\xe0\x7f\xf8\xf9xN\xd1\x93Ke\xa9s\xb0\xf2Az\xf0\xd2\x8da\x84|\xbf\xcbj\x9f\x1654\xd8\xb9\xdb\x07O\xd9\xe7\xf1#5\x12\xee\xf1\xaf\xa4-f\x8b;\xc8-\x0c'"	UQDD
REJECTION	"**** Error reading file by readAllLines
"	"b"\xfe\x11\x9421s\xf1\x02$\x7f\xd1\xfdF0\xde\xc3\x0b\xdd\xcfS\x13\x13p^m\xa8\x87\x846z_\x01\xb4V'9\x18\xb4\xd0\xe4\x89\xc2bO\xec~\x8f\x11\x9am\x12TG\xf96z,\x05\xab\x98\xef\xbd#,\x8a\x11\xdd^\x8eO\x05\xbf\xfa\x08\xb9\x88\x14\x1e\xe1;\x9e{\x84\xc0k\xac5\xbbU\x9b""	QWDQESQDESLDQWUWUEREDWWRLURQWEDDRWLUEWLWQQRRWRSRWW
REJECTION	"**** Error reading file by readAllLines
"	"b'V\xc2\x11\xe8\x89_\x08\xdda\xf0\xe8k\xec\xf2\x84'"	QQDDLWSWQQLULDQUQ
REJECTION	"**** Error reading file by readAllLines
"	"b'x\xdc\x80J\x008:;,R\x85\x95\x98\xf6}\xb1^!\x11\xbd\xa9\xc9\x9e\x85\x80<\t\xd7\xdc\x1a\xe1\xb6&?\xfc\xe8N\x9e\t\x8dU\xb1\x06\xe3'"	SRUEWUUQWSQQRUEESQWRRSWLSSQSSRQRUWLLR
REJECTION	"**** Error reading file by readAllLines
"	"b"\x89\xfd\xf7\xed\x10\xa0n\xdf\xb0G\xa4\x19\x1e\xa2\x8a#]\xc4\x9c\x1d^J\xd3\x85\x87.n\xd8\x99\xf3Xz\xbef\x89\xf7c\xf6x>\x8d\x1b\xa4\x8c\xd7'8\x87\x02m\x19<\xef\xcdV\xb1`C~\x82#\xe3\x0c\x9dk5\x99\xca\xf4\x01\xf9\xf3|\x828\xef\x10y{\x15\xfa'\x1e\x171\x98""	LLELLUQEREWREWLLSLDLEE
REJECTION	"**** Error reading file by readAllLines
"	"b'\xbaK\x94\xac}4w&\x80\x850\xcb\xf1\x86\xaaqm\xe0FB\xe1\xae{\xa7A\xbf8mo\x0bzau-m\xa9\xd0\xff~\xe3\xec\xcab\xcb\xd3\xe58Z\x7flO\xf5t\x06\xd4\xb6\x0f\xe0i^\xf7\xd8!7\xe2!fP \xa2OP=\xadh\xb0\xeb4\xd2'"	EEWSUSEQRLDWEDUD
REJECTION	"**** Error reading file by readAllLines
"	"b"84\xefVW\x11\xb5\x1e\x80\xc2W2\xaf\x12\xb4\xd2\xdf\xf1.\x81\x82\xce\x8b\r'X\x08\x92Gp\x9e%W\xd8,\xf3\x92\xfc\x01Y\x88\xc7\xfb\x07\x04HT""	WWDQLLRURSDQWUERDSSUELSQEWWUDDDWSRDWEQSSEUDSSUD
REJECTION	"**** Error reading file by readAllLines
"	"b'\xd3\xc9\xdf\x03\x19\xcb\xac\'\xdc\xe2_\xdc\x03\xf7\xea\xa5\xe0&\xc4(\x08d\xe6>\xa8\x01\x168\x04\xe1Ms\xa1\x93\x9f\x01E\x93\xfc\xc5\xf2\xc5\x00YT;\xdd\xe5\xe8\xf5t\xe9\x8a\xc86\x8b"\xd1\xf2'"	UWUWWLRSLSUQWRSSRSRUQDLRRSEQELWESSUL
REJECTION	"**** Error reading file by readAllLines
"	"b'\x8a\x8f\xfd\x87\xa9G\x99j\xe4\x84a\xbf\xe8\x12[\xbax!p\xcb\x99\x8eF\xc0\xba\x96T\xf7\xa0\x14\\\xd1\x98P\xbbF\xae\xb2\xd7\xaeO\xa6\x8d\x12\xc4\\\x01<\xc6bI\xe5\xa3\xd5{p\x7fAkKV\x8d\xfaG\x12ctZ\x13\xe6\x8a\xd1\x16\xa7\xe1\xa2\x0c\x8d\x8a\xdd#\x8b\xb7S>\x08\x18\x1b\xf4F'"	WRESLLLQR
REJECTION	"**** Error reading file by readAllLines
"	"b'\xbf\xc2|\xb7O\xd7\x82\x05\xc9\xdd\x00S{Q\xd7\xff \x9a\xeeL'"	RQUE
REJECTION	"**** Error reading file by readAllLines
"	"b'\x85\tX\xe2h\x82\xe4\xcdS\x18\xd6\x11\xde\xa7o\xcf\xbe\xfa<q\xfd\x1b\xbd\xf8\x86\x02V\xaaI[\xd9$H\x9e\x07\xab6\x92\x863?H<#\xf6{\x1c>:\xd6|V8*wk>\x81\xb2\xaf\x9b\xc9\xcc\x94\xb4\xba\x00\x80\xff\x88\x92\xea<\xeb=\x1b\x98\x80\x01op\xa4e\xff\x0f`\xd4\xf6'"	UEUUSQRWRRSD
REJECTION	"**** Error reading file by readAllLines
"	"b'v\xe5hB\x11v\xaa31=\xbfG\x1eN\x8f^\x11'"	ELEQESUDSDQUULEWUES
REJECTION	"**** Error reading file by readAllLines
"	"b'\xc8R\x07\x10\xa6\xa6g\xf3\x00\xe4\xcd\xf0AT\x7f\xd8\x81\x7f*\x1b\xd2\x9b\xfdG\xf8\xf9\x00\xff\x84\xa3s\xd10\xe4{M8\xafc\xe7Sd\xed\xcd\x08\xeb\x00'"	UUSWLQWLELSDDQQEDSEDUUDLEDDULWED
REJECTION	"**** Error reading file by readAllLines
"	"b"\xd9\xf4\xd0\xe5\x14\xefQ\x964\xda\xb3*\xeb\xe4\x7fdP\xad\x18\x8c\x0f\x85Y\xcd\xafw\xd1]\xec\x0c,\xda\x8a\xf7\xa0\xbe\xfakC\xf2\n\xf7;\xa4\xcd\xb09\x83\xe5u\xff!/\xed' 6\xdf[\xf4w\x99""	DSRWEQDRQSSEDEEDQRQR
REJECTION	"**** Error reading file by readAllLines
"	"b'.\x12\xe6tc'"	UDW
REJECTION	"**** Error reading file by readAllLines
"	"b'\x84V=\x87l\x0c\x7f\xeeF8`\xb6H\xd0\x93\x8b\xa7O\x95\x06\x02_+or\xffFf^7\xc8E\xb1\xf8\xf5\xb7\xd2t\xd08\xc9\xda;\xb44\xd7z\xdf\xf5j\xb1\xc2\xec\xf7\x845m\xa7\xe1tx\xf9\n\xa6l\x82\xf8\xfe\xa9\\'"	S
REJECTION	"**** Error reading file by readAllLines
"	"b'\xb7\x8a:\r\xcb\x98Du&\x90C'"	LSQRESRSURERWDRRQSSULEDUEEWLSUDUWSSRRQLWWSSEW
REJECTION	"**** Error reading file by readAllLines
"	"b"\x04\xf8'\x85bU\xc8\x16P\xe2\xcd\x19=\xb7{]\x10*\xc7\xc7\xf6E\x1dOo\xf2\xa4\x887I\x92\xd3\xab\x17\x9a\x7fu\x19\xed}\n\x13\x87\xf82{\x083\xa8\xfa\xe9z;#\xeb\xb8""	WUSRDEDSQWDLUUQLQWLULWS
REJECTION	"**** Error reading file by readAllLines
"	"b'*v\x1d\x1f4^\xec\xab\xf7^9\x00x\xae\x95\xfb\x03\x8f\x99\xf37p\xd8\x8c\xb1\xcc\x19\xd9\xf7\xd8\x08Qk\x9d\xc0!\xf7o\xcd\x0f'"	DLURUQLDUWSLRRWELLDELLSQSLDLUSL
REJECTION	"**** Error reading file by readAllLines
"	"b'\xdc\xfc\xe0\x08\xf1s\xd8\xb5\x10\xc4\xc5\x85\xe7F\xeaC\xcfl~\xbeau\xa81\x00\x8f.Z\x838\x8e\xc1\x8d"\xd4\xe3\xe24\x0b\xa9x\x0b#=\x16\xc0'"	ESWWSQEDUSEUWLWWUQSLRDRDQEEWSSWLEQQLWQ
REJECTION	"**** Error reading file by readAllLines
"	"b'\x91\xdf\xd2G\xd8\x89V\xcf\x91qn\xc9\x14\x19\r\x0cU\x85\xaah\xdb~0\tr\xec1\xd8\x9b_\xffW\xaf\xd0;S}\x1a\x0ek\xd2\xae\xdc\xccB:]'"	ESWRWUDQDDDEDWRLWSESLQURSSLLDDQSURS
REJECTION	"**** Error reading file by readAllLines
"	"b'\xc6\xfa\xa1\xba\xff\x8c\xb7\xc3\xcb\x1a9e\xad\x92\xbfO\x1c0\xd2\x07\x8aud\xe0~:X"\n\xe50&\x1a'"	WLSSURRUEWWQUQQQQLSSRDRS
REJECTION	"**** Error reading file by readAllLines
"	"b'\xcbHl\xf0\x13\xff^\xb9\xac\xb4\x17\xb7\xb1{w\xad\xcdfY>\x18\x0ej\xf8\x16P\x00\x1d\xaf\x8cE\x06\x0b\xc6"\xd4r,Z\xfa)?\x1a\x04\xfe\x1b\xf3\x1d$[\xad\xdc\x0f\x012u\xa1YCm\x1aQs\xedN\x9e{7\xa8>,\xfa\x05\xd1D\xd9e\tD\xb6\xb97\xae\xc9\xda\x96\x08$C\x93<'"	ESR
REJECTION	"**** Error reading file by readAllLines
"	"b'i\xb7j\xba\x89/\x18t\x80/2\x0b\x9e\x9a\xb65Q\xd9\x9d}\xb8\xe8L\x04\x11\xb6\xb4qz\x7f\x7fD\xbfA\xa26\x12\xa9\xff\x1a\xdcB|\xcf\xd2/a\xf7.\xbds\xc9\xfd\xcc\xf4\xc5\xa4G\xdb\xc0'"	LQWEEDWDQUSWEDRQEWLWREUEDRLEUQQRQQUDSL
REJECTION	"**** Error reading file by readAllLines
"	"b"&o>j1\xca)\xff\xbb\x08\xd1\x96'\xb5\x93U\xd1\xd3!\xa0D\xf9\xeft\x14\x1a=7""	SWLSWQWSEESQSWQUQQWQRQDLEUDUEQSSWWUESQRUSED
REJECTION	"**** Error reading file by readAllLines
"	"b'\x99H\x9a\x90\x9a\xe2l\x88\xe5\x19\xc1\x19\x80\x8a8:\x83'"	LLWWDQSEWLEWLEESESDUEQQRWELQSWSUWERUQQQLELRE
REJECTION	"**** Error reading file by readAllLines
"	"b'\x99\xeaF\x96\xe3\x1c\x99\xf4P\x91\xfa\x93\x9b\xe5\xcf\x02\xe2>#\x92\x076\xcf\xaa\x1e\x06\xca\xc3'"	RQREDQESELDWQLWWUL
REJECTION	"**** Error reading file by readAllLines
"	"b"\xf8\x87\xc7'\x002jn\xfd,\x9f\xc6ke]x\xc1\xa7-\x80$\x1dB\x8c\x95\xf1\xb2e~w\xcd\x03""	RDWWSUWRWDQESUUEQWSWLLSWSREEDUQLDUSDDUUQLRULQUWRW
REJECTION	"**** Error reading file by readAllLines
"	"b"\te\xef\xc7N\x0f\xd0\xbbd\x19\xb4h'\xe6\xdd\xe3\xe0\x0c5\xfc\t5\x0f\x80,\x05\xa3\xf6\xac\xbb\x86\xa8\xea{}^\xa5>\xae\x0cS]\xa2%\xb6\xf0\xe2\xb4;\xa7\x06P\x90\xa3~\x98*\xd8\xf4\xf9\xc5\xfa)\x91\x1c\xd5\xda\x08.\xf32""	RLDQRQDSUSU
REJECTION	"**** Error reading file by readAllLines
"	"b's=&\xef\xe3\xef\x11tt\xa6\xf2\x8a\xd2\xbe\xff\x1b\x88\x8d\x83\x89\xcd\x0f_\xea'"	ULESSSQUQERESSRSULSSLEQWRRRQSDULWSULUS
REJECTION	"**** Error reading file by readAllLines
"	"b'i_H\xfda#\x87\x06\xe8)\x12\xe6n\x9c\x89\xf4\xe5\x97\x7fl\x83\xbfU\xf7I'"	QDRSLSWELSSUUEWWQLLERURQWRERWDQERUQQDDDELDRUSDDR
REJECTION	"**** Error reading file by readAllLines
"	"b'F9b\xd1}\x8d\r\xa3\xfa\xd98Tp\xcd\x12\xd0_#`_\xc9@`\x8d\xb0Z#O\xb7=R\x12\x9d\x881\xa9T\xaa>\xfa\xcd\x0e\xbf\xb3G&\xe7\xfd\x7fS\xf7\xf2\xab\x12.]A\xc9AK\xaeu\xf5'"	DWEED
REJECTION	"**** Error reading file by readAllLines
"	"b'`\x8e\x80'"	ESRDWEQULLERRQ
REJECTION	"**** Error reading file by readAllLines
"	"b'\xf7\xab\xbb\xfd\xff\x982\xfc:\xc1\xf7\x18\x94a\r`\xb0\xd1\xb0\xd4\xa4&v\xcfWi\x87..\x15\xf9\x0f\xcb&\x14\x14\xfc\xb9m;dbb\x0fp\x14\xce#\xe3\x7f\xd3Y\x14\x99\xfb\x1dn|\xa3g+\r\xb9\xf6ZG\x88\xf2\x9d!5\xd6\x02\xd3\xf8\xb1'"	DSRQUWUDUWQWREDE
REJECTION	"**** Error reading file by readAllLines
"	"b'\xd9\xa0\xa3\x08%G\xc7\xdf\xfc\xbb\xd8V'"	QLWWDQQLRQQESLQRSUDSR
REJECTION	"**** Error reading file by readAllLines
"	"b'\x17e@\xc7\x98\xb9\xdep\x9by#'"	SLLLUSEQLWEWSSWWDULQSRSELEEEUSWW
REJECTION	"**** Error reading file by readAllLines
"	"b'*A\xa7<j\x19/< l\xd3\xc04\xa7\xb4\x9a\x1a\xf3\x9d\xbcW\x8d8mF\xa8\xae\x03}\x9f85\xbb!\x82h5q\xded\x8fF\x8fP\xe5\xe1\xcb\xadP\x0f\xe1\x15\xa4<{\xd9\xdc\xd5\xa18\x9d\x1eG\x99j\xe7\xb2\xb1\xa2\x0bz\x111r>O\xaa'"	U
REJECTION	"**** Error reading file by readAllLines
"	"b';\x87\xbdClF\xab\x14\x9b\xa0'"	DQEEUURSESRWDW
REJECTION	"**** Error reading file by readAllLines
"	"b'\x89\xdf1\x8e{Y\x07U\x907\xe2\x8f4Yc\xd0\x94\x81\xc6r\x7f\xf3t\x95n55\xd7\x13\xf9\x15\xd5\x02w\xc8l\x88\xa3\xcf\x16\x95\xe3W\xcd\xe0\xdb3\xae\xe9\xdc)A\x86l\xb7\xf7\x0e\xf4A(\x93#\xfb\x9e\x83u\x81\xa1w\xc4\xb0\x15\xa8D\xa9\xf0\xa2\x95\xc9\x0c\x922\xae\xee\xfa\xa8\xb1\xa0D\x1eR\xf6\xc5Y2\x19\x803'"	QQRDSQWEDEUQDLEQRSSQEURQSWQ
REJECTION	"**** Unknown character
"	"b'v'"	WUQUWQRRQEQDERDEULDDQUSUDLRURWRQQ
REJECTION	"**** Error reading file by readAllLines
"	"b"\xed4\x05,7<J\x96Q\x9a\x13\xe52\x96z\xbe\xad\xed\xbc\x14\x1e\x18<\x06\xc6\x13SId\x03\x1d6y\xd3\x9c\xb3\x92\xc3d\r\xb3P\xaf\xf1\xfc\xb0o\x9a\xb2\xfc\xb3\xe4#\x84Y\x00'\x8fs\xef\x92:\x0c\x8f\xe9Rg[g\xeek\x19""	EE
REJECTION	"**** Error reading file by readAllLines
"	"b'y\x92\x92\xc7\x15\x918\xd8-\xe7U\xb3\xcfS\x0c\xde\x02\x02{\x04\xc30\x8d\xcf7\xf1\x85\x85\xd2'"	LDDSWLWLDQDDDRSDUSUSLRESWRUERRWQS
