Exit Code	Error message	Map	Action Sequence
REJECTION	"**** No player is set
"	"WWWWWWW
W000W0W
W00M00W
WM0000W
W000F0W
WWWWWWW
"	SRDDLWE
REJECTION	"**** No player is set
"	"WWWWWWW
WM0000W
W00MMFW
W00000W
W00MF0W
WWWWWWW
"	SLDLLWE
REJECTION	"**** No food
"	"WWWWWWW
W00000W
W00M00W
W0P000W
W000W0W
WWWWWWW
"	SULDEEWRE
REJECTION	"**** No player is set
"	"WWWWWWW
W00000W
W00M00W
F0000FW
W000F0W
WWWWWWW
"	SUQWRUE
REJECTION	"**** No player is set
"	"F0W0WWW
W00000W
W0FM00W
W0F0F0W
W000F0W
WWWFWWW
"	SSDLUUE
REJECTION	"**** No player is set
"	"WWWWWWW
W00000W
M00M0WW
W0M000W
W00FF00
WWWWWWF
"	SUDRRUE
REJECTION	"**** No player is set
"	"WFWWWWW
W000F0W
W0FM00W
W0WM00W
W000F0W
WWWWWWW
"	SLERRWE
CRASH	""	"WWWF0MW
W00MM00
W00M00W
W0P000W
W000F0W
MFWWWWW
"	SUWSDWDEE
REJECTION	"**** No player is set
"	"WWWWWWF
W00000W
W00F00W
W00000W
M000F0W
W0WWWWW
"	SUDWRWE
REJECTION	"**** No player is set
"	"WWWWWWW
W00000W
W00M00W
W0W000W
M000F0W
WWWWWWW
"	SUDRERE
REJECTION	"**** No player is set
"	"WFWWWWW
W00000W
000FF0W
W0M000W
W000F0W
WWWWWMW
"	SWDDRSE
REJECTION	"**** No player is set
"	"WWWW0WW
W00000W
W00M00W
W0W000W
W000F0W
WWWW0WW
"	SUWEDRREE
REJECTION	"**** No food
"	"WWWWWWW
W00000W
W00M00W
W0P000W
WM00M0W
WWWWW0W
"	SWLWDWWWE
REJECTION	"**** No player is set
"	"WWWWWWW
W00000W
W00M00W
W0M0W0W
W000F0W
WMWWWWW
"	SSDWRWE
REJECTION	"**** No player is set
"	"WWWWWWW
W00000W
W00MWWW
W00000W
W000F0W
WWWWWWW
"	SDDWRQE
REJECTION	"**** No player is set
"	"WWWWWWW
W00000W
W00M00W
W0F000W
W000MMW
WMWWWWW
"	SUDQRWE
REJECTION	"**** No player is set
"	"WWWWWWW
000000W
W0WM00W
W00F00W
00W0F0F
0WFWWWW
"	SLUQDRRSE
REJECTION	"**** No food
"	"WWWWWWW
W00W00W
W0MM00W
W0P0M0W
W00000W
WWWWWWW
"	SWDDRSRWE
REJECTION	"**** No player is set
"	"WWMWWWW
W0000MW
W00F00M
W0F000W
W000F0W
WWMWWWW
"	SDDRWWE
REJECTION	"**** No player is set
"	"00WWWWM
W000F0W
W00F00W
W0MM00W
W0W0F0W
MW0WWWW
"	SDDQRWE
